,Altruism,Autonomy,Care for others,Competence,Courage,Duty,Empathy,Fairness,Gratitude,Honesty,Indignation,Justice,Love,Loyalty,Generosity,Nobility,Obey rule,Zeal,Respect,Dedication,Sanctity,Self-improvement,Self-control,Social contribution,Temperance,Warmth,Encouragement,Honor,Benefit others materially,Benefit others physically,Benefit others spiritually,Moral Flexibility,Deserved Reward,Gratification,Moral Imperative,Pro-environment,Self-discipline,Self-Identification,Uphold order,Moral Urgency
Protect wildlife,-0.225900726,0.788184177,-0.029174124,0.193073223,0.334236472,1.650308972,0.207481219,0.690902397,0.021430272,-0.08553765,0.46284262,0.96700569,1.540459788,0.026684339,0.665923727,0.119625666,1.729211053,0.937051442,0.609532644,1.01877291,1.294463341,0.272805909,0.753539551,0.429336468,0.533089475,0.533595006,-0.286873632,0.890399923,0.883355195,0.304674386,-0.681898773,-0.102450167,-0.644521782,0.076780077,0.694463592,3.399000638,-0.416872344,-0.015535168,0.529826473,0.502068528
Provide wise advice,0.108627279,-0.080298152,0.014367166,-0.516961962,-0.557252599,-0.671087018,-0.964450628,-0.659804911,0.440143703,-0.230645046,-0.817638519,-1.092333747,-1.429226749,-0.798100226,-1.792694561,-0.708161468,-1.226719037,-0.717826943,-1.301826698,-0.919023557,-1.350118082,-0.16436122,-0.700825944,-0.971820821,-1.548424377,-0.298230175,-1.754472401,-0.937664168,-0.884466928,-0.826808842,0.332920437,1.912521298,-0.390197502,-0.570763392,-0.386306062,-0.729674428,-0.798706112,-0.948400591,-1.298512448,-0.340175746
Read religious scripts,-1.649891148,-2.692374776,-1.172573735,-2.052417533,-1.760188026,-2.292804233,-2.010258088,-2.295634692,-1.586159167,-0.830388927,-1.609258438,-1.197211447,-1.706440555,-0.196355994,-0.662064654,-1.432874037,-1.932983671,-0.431189065,-0.563900885,-1.861480365,1.37911252,-0.981558135,-1.828570011,-1.56486879,-1.775905044,-1.181944982,-2.490113506,-1.38132646,-1.514325348,-0.93390759,-1.241429002,-0.865842849,-1.043666113,-0.603735006,-1.069627866,-0.867005225,-0.194130785,-1.865491381,-1.090473884,-1.178086931
Read widely,-1.24923019,0.423554191,-1.426769387,0.038078175,-1.032783111,-1.406090326,-1.528269808,-1.420936936,-1.06524364,-0.597516574,-1.265037193,-1.063630377,-1.634957072,-0.609909945,0.444406494,-1.090680662,-1.620217222,-0.209979398,-0.679245221,-0.994871964,-0.632151965,2.683736122,-0.591009133,-0.618938862,-0.876501712,-1.357768604,-0.815555866,-0.568205956,-1.153242719,-1.022827215,-1.752926499,-0.256239901,-0.779741721,-0.702649846,-0.252767081,-0.459888485,0.489055544,0.523524921,-0.924843181,-1.126450948
Recognize and fix one's error,-0.828852399,-0.100187061,-0.457908909,0.112705421,0.232046764,-0.62680971,-0.398917712,-0.383542176,-0.668021163,0.454528729,0.498763143,-0.595544646,-1.096390756,-0.457344162,-0.170031269,-0.285700511,-0.299451431,-0.702248798,-0.588452089,-0.225091318,-0.439904275,0.648997009,0.636378759,-0.581366879,1.038017661,-0.466775695,0.142139,-0.375275346,-0.305286772,-0.601545792,-0.929216244,0.386106334,0.264498665,-0.292565402,0.025675899,0.119501208,0.895077313,-0.162471481,-0.462357449,0.383510384
Recycle,-0.161377833,-0.100187061,-0.687650019,-0.863340393,-0.749903422,-0.611672169,-0.705135296,-0.872170143,-0.65220784,-0.192985595,-0.663387329,-0.655972794,-1.026055602,-0.73634838,-0.339354499,0.083801226,-0.203245807,-0.421842178,-0.358299788,-0.161388848,-0.514520958,-0.450638513,-0.043725354,0.218346384,0.698476832,-0.734311467,0.591336438,0.081254468,0.235074977,-0.450746428,-0.6844806,0.961141292,0.857170985,-0.178140888,-0.216578466,1.842444573,0.561737664,-0.553381499,-0.345704246,0.291685629
Reflect on oneself,-1.151018034,-1.074743568,-1.218412295,-0.202594691,-0.316690104,-0.139558976,-0.566863851,-0.525487495,-1.261903884,-0.238450824,-0.379134452,-0.758933062,-0.891295813,-0.214942689,-0.778026696,-0.777291443,-0.744907727,-1.786487728,-1.307385461,-0.694705926,-0.205984845,1.634097297,0.701800538,-0.941615893,0.957885063,-1.651957149,-1.863386719,-1.313371144,-0.713427788,-0.700345375,-1.853897434,-0.522038342,-0.715908845,-1.314685424,0.275706331,-0.259986851,0.644656701,-1.106627379,-0.670396014,-0.09373128
Rescue,1.486480594,0.012516753,0.755771151,1.155737779,1.805768255,0.575489491,0.819977095,0.287381609,1.419055184,0.733693676,0.852323725,1.423351063,1.649192193,1.320492521,1.749583432,1.347015075,0.964965351,0.542055578,1.34553427,1.552605734,1.355833996,0.840193035,0.46935319,1.52238791,0.080757975,1.207187767,0.770626256,1.040460402,1.669242451,2.001329229,0.577044243,1.636851719,1.089518132,0.531080962,1.863612664,1.005244216,0.214322252,1.128976602,1.542514196,2.625959435
Show filial respect to the elders,0.329469353,0.934036171,1.606720456,-0.019164314,-0.462916586,1.693536326,0.51325728,0.580261651,0.360330292,-0.03668331,-0.211996722,-0.205138665,1.594854321,1.268613466,0.00274046,0.682817419,0.782681009,-0.013978003,2.287365624,0.427395708,1.043188937,-0.439977227,-0.259758425,-0.392502365,0.086571292,1.367027424,1.317491791,0.95578254,-0.097143904,0.304176933,1.27499375,0.209695313,0.135791351,1.08062737,-0.00144517,-0.573801389,0.711627085,0.812250956,-0.295053709,-0.573817903
Respect others' opinion,0.981551283,0.430183827,0.615130114,0.210928045,-0.963928014,-0.020951889,0.977615615,0.318224867,0.140608668,0.567533934,0.055340882,0.013590226,-0.313247242,0.174284559,-0.633074144,0.285412484,0.066372478,0.083989372,1.96476414,-0.091241187,-0.456944763,-0.204302648,-0.263994367,-0.207597151,0.784625391,0.193210707,0.544768503,-0.294179246,0.034608935,0.284395883,1.160538236,0.783501063,0.113340874,0.457781246,-0.260120917,-0.038001394,0.117786608,-0.149918659,0.385799775,-0.62803945
Respect privacy,0.505196063,0.59592473,0.352600178,-0.784687204,-0.794495294,0.688858862,1.001204689,0.512096778,0.011705314,0.729465547,1.734223893,0.411281266,-0.061459214,0.259018019,-0.062927439,-0.440858899,0.412764698,-1.11351184,1.566495107,-0.162153277,-0.184075646,-0.901831606,0.542650125,0.340251766,1.416713801,0.140754294,0.902661394,-0.521340221,-0.12700788,0.200706824,0.872317798,-0.06555841,0.310327397,-0.152436044,0.758719664,0.55424663,0.775945177,0.19874362,0.477016684,0.2207788
Respect teacher and elder,-0.932797974,0.90088799,0.44599318,-0.663198439,-0.666014962,0.390433051,-0.065747251,-0.473750416,-0.189912751,0.053270967,-0.194231293,0.126585394,0.364570858,0.547385116,-0.756710144,0.143086065,1.105150689,0.232439936,1.994192886,-0.693566776,0.181608806,0.089257724,-0.355773123,-0.133493239,-0.702231359,0.168875257,0.321085446,-0.505075054,-0.315134964,-0.092204882,0.039854644,-0.363646944,-0.926470686,0.365048583,-0.696337111,-0.300426063,0.057719985,0.015411189,1.000031283,-0.677742536
Return lost property,0.82191852,0.317480014,-0.167853905,0.042496894,0.371860864,0.422221888,0.155340624,0.262010541,1.6470905,1.951548978,0.221391883,0.797788997,-0.664331957,0.301816329,-0.2554346,0.655033123,-0.190790614,-0.146354972,-0.358299788,-0.165210996,0.516396308,-1.015441909,1.599026123,-0.336509218,1.001199981,0.54308616,0.760341414,0.639943363,2.605617441,0.316770335,-0.109701457,-0.945673616,0.98121868,0.558839752,0.617853237,0.091059919,0.262307806,0.541276126,0.249353429,-0.119672803
Save lives,0.834429997,-2.122226072,1.27458031,0.701327818,1.280977658,0.848192294,0.71201172,0.468925692,1.620105166,-1.060659353,0.239930114,1.028403727,0.907156326,-0.820171926,0.646132129,1.639953343,0.016652764,0.092236626,0.4200002,0.505958227,2.077750408,0.292648956,-0.302965039,1.186726444,-0.456780157,0.634899114,0.801258408,1.891073494,-0.052347938,2.192506423,0.611919072,-0.428142154,0.834493516,0.587879718,0.882314252,-0.146627999,-0.919864305,0.453259736,-0.136297007,2.057376846
