"","ability","aggressiveness","anger","autonomy violation","betrayal","callousness","challenging authority","coldness","contempt","cost","deception","deliberateness","desire","disgust","disrupting social order","fairness violation","guilt","harm to life","harm to others","harm to property","harm to society","harm to the environment","harm to the self","hate","hedonism","impulsivity","injustice","irresponsibility","norm violation","oppression","perceived harm","psychological harm","risk","self-indulgence","self-interest","sense of dirtiness","sexual relevance","shame","strategy","unjust-gain"
"Shoplift","0,100,10,30,0,9,33,49,83,27,20","73,6,0,15,0,61,41,50,64,64,3","26,91,40,50,100,95,13,45,24,5,56","64,42,1,12,12,45,10","64,15,0,0,64,59,52,58,51,6,2","70,8,20,100,0,81,25,49,87,23,5","100,16,90,0,40,82,22,30,68,67,68","76,67,10,60,44,55,30,46,43,39,5","67,32,80,74,51,84,17,47,91,85,72","74,99,10,0,14,60,34,48,42,89,2","100,58,70,0,34,99,26,52,16,86,98","90,100,100,100,40,96,57,45,91,43,70","90,99,40,25,55,66,34,45,9,81,66","88,73,50,42,73,82,35,46,69,85,30","100,23,10,100,50,82,25,49,19,95,11","80,64,30,50,50,70,31,70,90,5,13","63,74,90,100,90,80,42,60,85,59,78","52,0,0,0,0,16,0,46,60,9,0","65,13,10,100,100,68,41,50,48,69,19","100,90,100,53,13,94,75,47,91,88,84","76,29,10,100,62,81,33,47,90,87,14","21,0,0,0,6,39,34,48,75,8,0","73,15,10,5,8,48,35,46,16,1,14","54,69,13,63,90,25,24","0,34,60,100,14,74,44,46,92,12,46","58,79,62,43,100,90,53","53,83,59,91,100","59,93,59,50,80,80,75","60,88,51,30,85,35,35","64,21,0,0,0,94,0,48,80,11,1","58,73,20,84,90","38,5,0,0,12,38,0,30,88,9,13","86,99,100,47,30,86,36,47,91,15,42","82,84,40,11,73,88,29,20,97,81,60","80,67,70,100,81,90,26,50,92,88,100","86,42,40,50,0,72,27,40,72,65,1","0,27,0,0,0,0,16,50,13,62,0","87,36,90,72,100,95,50,51,68,94,91","0,57,40,29,48,53,35,48,87,93,18","90,100,50,41,89,93,25,49,21,86,70"
"Smoke in public","2,10,64,10,45,7,14,28","70,15,38,27,15,43,7,8","65,80,31,74,38,60,16,79","67,78,31,33,85,67,1,59","10,5,83,20,30,12,0,9","70,20,87,48,42,61,22,15","90,60,86,54,31,41,64,12","85,20,49,36,52,18,10,70","69,70,90,55,29,60,13,12","1,40,34,20,29,11,10,6","0,20,87,5,31,12,3,11","90,30,73,85,52,76,93,84","90,90,85,75,10,64,83,11","60,85,64,60,51,38,56,14","10,13,83,55,39,35,9,8","80,30,38,30,39,14,3,29","50,15,39,40,30,38,17,42","65,90,8,43,14,54,4,3","50,20,54,45,49,70,14,6","0,10,32,25,20,64,0,8","65,80,62,35,39,36,20,33","15,70,81,49,31,68,55,16","60,100,84,79,51,75,51,8","0,10,0,42,16,10","85,70,88,85,15,64,92,18","10,5,13,70,50,26","53,11,25,76,63,65,100,0,64,7,0,12,61,0,25,16,0,17,34,50,51,0,0,100,20,3,19,80,24,10,19,93,100,24,8,8,17,0,50,10,46,0,13,71,75,0,21,46,86,0,71,14,15,17,71,41,13,0,96,85,73,0","20,65,13,0,69,54","20,8,4,86,61,35","25,10,80,20,21,0,0,12","13,8,17,88,67,41,100,21,31,20,0,0,65,50,29,0,0,32,32,100,71,8,61,100,69,2,55,72,18,10,1,91,99,25,25,57,33,38,48,10,55,0,12,85,53,0,51,53,37,0,82,24,7,10,92,54,8,0,86,96,78,100","5,3,63,16,38,58,0,21","30,40,3,49,39,17,0,8","90,100,95,39,37,70,29,10","60,30,99,49,76,70,38,16","30,90,97,24,41,54,26,31","0,0,0,10,0,0,0,16","50,70,90,70,52,26,6,4","0,1,3,3,15,15,0,3","0,0,1,5,0,0,0,4"
"Solicit prostitution","18,26,75,41,0,75,0,20,10,43,31","0,0,14,63,0,33,5,10,100,10,14","50,0,70,69,2,0,10,50,99,21,31","21,76,0,64,75,32,57,3","5,0,33,35,0,0,0,0,1,29,13","3,0,9,52,28,97,10,50,55,12,19","20,33,74,79,85,87,0,40,10,51,29","1,0,20,57,15,86,7,50,80,12,26","88,51,22,76,72,78,92,80,20,56,75","69,46,66,60,3,100,53,100,90,20,50","2,9,19,37,67,50,0,10,30,39,13","100,58,83,84,100,100,100,95,100,15,71","71,84,46,57,100,100,100,50,100,39,89","82,46,88,67,59,20,93,60,99,34,59","23,0,85,35,35,33,30,30,25,41,48","49,6,24,20,29,50,10,20,95,40,32","50,0,6,68,50,89,60,70,80,7,42","0,0,25,23,0,85,10,20,65,51,36","16,0,42,59,0,83,10,10,70,39,10","2,3,79,20,0,0,0,0,50,33,25","50,0,22,73,0,25,0,0,100,33,25","0,0,11,15,0,26,0,0,0,15,26","22,23,89,54,0,75,0,10,5,74,18","2,0,20,25","100,99,64,82,96,100,100,50,100,58,84","69,67,66,65","70,27,0,62,3,44,100,0,38,31,0,7,67,100,1,6,0,9,29,55,56,1,0,100,92,7,49,4,56,38,21,97,100,13,74,12,100,0,38,30,42,0,53,77,31,0,0,47,65,0,30,7,32,17,84,100,59,0,53,90,69,100","34,16,45,35","51,58,67,50","6,39,36,44,62,50,36,50,100,52,6","55,34,0,88,3,47,100,0,23,13,13,0,79,100,0,2,25,8,31,92,64,3,2,100,63,3,50,50,21,21,8,83,99,22,48,21,100,6,54,20,100,19,15,74,49,0,13,44,35,0,58,0,57,8,55,100,73,0,31,55,61,100","6,28,27,74,90,100,31,95,100,15,19","47,100,77,34,45,100,82,90,90,38,10","94,100,63,77,98,100,90,100,100,34,73","85,74,72,71,98,84,97,100,90,38,66","82,100,92,79,84,100,100,70,95,16,48","90,100,100,100,96,100,100,100,100,35,89","88,78,66,73,95,78,56,80,90,27,71","80,54,84,41,98,97,60,70,100,66,27","100,35,83,75,0,100,2,90,90,26,51"
"Spread rumors","0,28,10,41,85,3,9,40,35,11","42,71,50,19,75,19,47,0,58,100","55,82,80,41,65,4,81,30,61,100","21,56,0,10,90,82,50","0,96,100,91,66,16,19,30,68,50","10,73,100,11,75,5,76,70,65,100","26,0,30,0,75,29,14,10,43,10","16,80,65,40,75,18,38,20,48,100","0,71,30,40,79,30,69,50,39,100","0,0,30,15,15,8,8,50,11,11","0,85,100,80,100,29,100,20,96,100","10,100,50,93,90,9,79,70,64,100","0,0,80,40,100,32,2,20,44,65","100,71,50,15,70,14,25,40,32,100","12,51,50,90,65,16,53,30,42,100","82,75,60,15,60,39,14,80,35,40","100,59,75,40,10,15,69,50,63,100","100,0,40,0,40,24,11,10,24,44","8,63,80,51,72,12,64,40,64,100","0,0,80,10,0,34,5,50,14,15","8,12,30,22,50,10,29,40,20,100","7,0,15,12,0,47,9,0,2,2","0,15,15,5,15,34,33,0,27,25","32,7,61,19","8,82,50,75,0,27,5,50,54,9","22,19,66,90","68","36,99,79,66","51,16,88,28","0,49,50,36,70,17,60,20,82,87","68","0,85,70,90,65,17,23,40,83,80","2,18,10,10,50,18,36,10,56,51","54,43,70,81,66,12,18,20,46,7","7,45,40,50,100,10,83,20,60,75","0,0,50,50,45,23,49,40,57,91","92,0,0,10,0,100,8,0,50,9","0,82,20,56,71,21,17,50,64,100","0,18,30,40,75,26,42,30,55,4","0,5,20,30,35,20,5,0,19,80"
"Spread STDs","1,0,52,80,0,0,0,12,94,39","94,20,64,70,62,84,11,89,81,53","95,81,42,100,72,48,100,90,68,60","60,89,100,9,81,2,65","100,0,4,100,73,75,100,15,100,80","100,70,52,100,74,100,100,94,95,97","30,10,0,30,0,0,70,8,20,0","90,70,25,80,84,100,100,93,100,60","78,100,0,100,76,81,100,90,83,93","46,100,45,90,0,0,5,7,4,2","82,50,66,100,32,94,100,9,97,75","64,45,36,60,25,100,100,90,89,51","34,35,100,100,100,76,0,3,78,85","91,95,100,100,87,100,100,90,100,88","6,5,100,70,25,72,0,94,50,4","77,100,100,100,82,100,100,92,94,50","81,100,100,100,70,100,100,87,100,82","97,25,45,90,75,100,10,97,84,65","100,80,46,100,86,100,80,97,95,85","72,20,12,100,0,73,0,9,31,19","99,65,45,60,80,80,6,93,59,85","2,0,0,20,0,0,8,12,0,0","91,35,100,30,0,0,0,94,4,38","26,51,91,96,5,100,31","67,25,100,100,100,74,0,7,85,80","89,96,59,25,100,100,50","52,50,63,82","91,100,78,100,100,100,86","78,42,87,88,60,90,45","39,25,47,70,48,72,79,84,94,85","58,100,50,73","100,85,44,100,60,100,91,86,98,72","65,55,0,100,80,100,80,93,91,12","98,90,100,70,76,83,100,82,98,82","42,50,0,100,37,69,100,86,98,37","96,100,49,100,100,100,100,79,98,90","100,100,62,100,100,100,100,96,86,100","100,100,35,90,100,100,100,17,99,92","37,80,0,50,5,0,0,80,11,4","0,0,0,80,0,0,0,6,0,3"
"Theft","26,89,61,60,80,88,30,67,64","95,87,51,90,98,81,82,79,86","53,73,82,100,100,88,93,84,89","83,77,0,6,33,85,30","32,72,18,75,5,82,88,46,90","59,88,47,100,100,80,88,64,67","61,73,41,90,8,56,91,19,53","88,72,61,90,100,70,88,63,77","91,46,70,90,6,96,82,82,88","79,63,81,75,42,19,52,90,68","60,41,76,95,89,55,68,100,84","100,53,72,85,95,85,97,79,100","80,43,100,70,62,91,16,78,89","91,83,60,95,100,76,86,100,92","75,68,81,95,52,49,85,92,84","82,75,100,80,95,86,71,100,73","86,69,60,100,100,81,66,67,77","27,70,30,80,100,24,9,69,77","81,77,100,90,97,86,82,100,81","98,0,71,80,99,90,91,100,92","76,77,71,75,93,70,75,100,89","39,0,0,0,71,10,9,35,76","90,0,70,9,100,16,87,0,65","88,10,2,90,71","93,70,25,85,36,66,7,45,60","83,60,34,15,46","42,50,100,77,82","53,80,10,95,53","86,35,34,89,31","84,77,51,80,60,65,86,6,74","47,56,78,77,40","96,78,71,95,78,74,66,65,80","89,75,80,95,97,74,84,100,86","89,37,100,15,92,78,34,28,51","90,80,100,40,100,89,83,100,49","45,61,79,90,94,77,96,100,75","0,0,0,0,0,6,1,0,71","94,32,70,100,100,85,95,100,83","20,73,82,75,87,83,68,63,73","76,87,94,85,95,91,58,77,86"
"Torture for confession","100,92,51,63,65,45,100,52,100","100,100,100,100,70,100,100,74,100","100,100,100,100,85,99,100,59,100","94,98,100,15,100,95,90","4,91,100,62,60,31,100,31,10","100,100,100,100,70,100,100,100,100","55,100,100,19,70,71,100,100,80","100,100,100,95,70,100,100,100,100","100,86,34,83,77,90,100,23,0","95,65,100,13,60,12,44,100,100","80,100,100,79,36,15,65,46,25","100,100,100,100,78,100,100,100,100","50,100,100,78,36,25,0,8,100","100,100,100,96,65,100,100,100,100","100,89,73,0,53,58,100,72,80","100,100,99,100,83,100,100,100,100","100,93,0,88,27,100,100,38,100","100,100,100,78,48,100,100,70,100","100,100,100,100,86,100,100,100,100","84,19,100,0,0,1,37,0,20","100,78,50,71,1,99,100,16,70","0,44,0,0,0,0,0,19,0","22,21,20,20,60,2,100,0,100","89,100,100,100,70,62,100","0,84,5,19,30,3,0,33,100","21,93,60,0,50,5,74","91,70,80,65","79,100,100,100,90,99,88","100,100,100,99,90,100,93","100,100,100,76,100,100,100,51,100","89,77,87,88","100,100,100,97,80,100,100,83,100","85,98,100,91,26,95,100,34,100","84,100,0,0,100,8,0,38,100","100,100,100,100,79,85,100,71,100","61,100,100,98,81,100,100,100,100","0,95,0,0,0,0,0,9,50","100,91,52,61,5,100,100,100,82","59,90,100,90,100,71,100,83,100","84,79,100,26,71,1,100,0,10"
"trade secret infringement","44,85,9,93,28,65,59,10,39,14","17,20,61,75,82,76,55,21,74,10","18,90,100,91,21,100,66,92,93,100","56,45,0,10,89,21,35","2,100,100,97,87,100,50,89,68,71","17,15,40,97,64,68,67,85,30,36","68,100,50,91,100,100,62,80,82,63","9,25,10,89,30,87,64,90,66,24","8,2,100,94,23,100,61,87,84,52","47,75,0,88,100,82,58,69,82,12","85,100,100,96,100,100,65,95,100,72","58,95,50,95,100,100,69,100,100,63","19,15,60,86,69,48,51,89,100,0","45,75,70,82,28,100,58,22,56,60","48,5,82,95,100,100,59,88,13,100","85,85,30,85,100,100,42,90,91,43","48,70,33,80,100,81,51,71,55,50","7,10,0,81,0,100,56,6,0,23","49,90,27,92,100,100,63,77,8,57","83,95,15,95,41,0,52,100,0,85","49,80,42,96,100,84,56,85,20,85","3,0,0,50,0,0,45,33,0,0","20,0,26,48,0,0,49,31,3,0","64,6,35,3,0,56,21","3,10,50,66,15,56,59,23,0,18","11,19,35,3,50,40,0","59,51,76","64,21,60,20,55,53,1","48,16,50,12,50,65,0","7,44,64,80,88,68,53,46,50,29","71,40,53","12,35,0,85,0,80,54,44,0,31","29,90,100,92,60,100,66,75,81,29","10,30,40,36,100,100,58,99,10,95","50,100,70,95,100,100,65,100,100,55","34,90,20,83,100,71,49,24,100,5","0,0,0,15,0,0,38,0,0,0","22,95,82,87,60,64,64,92,61,42","55,100,70,95,100,100,65,100,98,27","48,100,25,91,100,100,66,100,87,31"
"Trespass into a military zone","4,54,40,36,12,71,100,67,35,37,100","9,76,90,41,15,40,75,3,95,84,47","15,46,50,14,27,80,51,93,80,50,47","39,31,0,6,20,3,55","16,73,100,21,35,70,100,73,69,68,74","6,42,80,41,58,60,98,19,64,29,0","91,90,100,38,18,100,100,14,89,64,100","21,62,4,30,61,20,73,34,70,21,24","19,49,50,34,22,80,9,4,34,42,86","13,71,50,31,81,60,100,83,82,25,97","32,50,100,47,39,30,100,87,59,16,34","66,75,100,31,16,50,100,86,95,100,90","43,61,50,35,54,50,100,16,97,70,0","38,62,30,27,43,70,85,0,9,18,54","23,89,100,28,15,80,100,39,95,4,97","39,59,90,33,82,10,100,85,78,17,75","9,78,20,25,42,50,100,59,54,29,97","2,62,50,43,38,51,40,2,89,76,0","9,63,50,30,31,61,86,15,83,50,19","2,85,50,34,62,0,100,1,97,79,100","13,74,50,27,21,60,66,3,33,22,82","0,67,40,41,68,5,9,0,18,50,0","1,57,50,34,20,70,78,0,84,100,6","34,58,5,93,95","63,19,90,12,28,5,100,0,36,51,33","30,15,94,68,1","0,58,100,100","30,45,81,73,90","34,65,60,67,91","0,47,80,14,23,11,53,0,80,39,0","25,61,55,100","0,68,8,41,26,40,6,0,66,10,0","90,63,100,21,56,90,100,99,99,95,100","57,55,15,31,13,0,91,2,83,20,0","37,33,100,49,42,0,100,74,95,71,62","8,90,7,12,26,20,100,3,45,45,20","0,15,0,33,24,0,0,0,4,0,0","4,62,10,20,22,70,44,42,71,39,94","25,94,50,31,74,50,100,16,96,9,100","0,0,2,29,47,0,100,8,26,45,0"
"Urinate in public","55,1,0,0,31,50,3,13,2,5,85","66,4,1,20,91,100,65,36,4,2,7","35,58,3,0,70,100,14,47,81,85,100","54,39,40,85,80,20,38,59","24,5,0,0,31,75,1,14,1,77,73","22,24,0,70,59,70,53,31,18,14,48","53,24,2,10,42,100,49,68,66,17,69","69,7,0,5,42,75,14,58,3,18,47","37,60,56,30,80,75,99,44,82,94,88","49,1,0,0,27,65,5,17,1,70,35","47,3,0,0,69,20,0,14,3,79,22","24,26,90,100,95,75,39,21,2,90,37","27,18,2,10,25,45,0,21,2,75,26","31,72,31,60,81,75,98,81,33,100,100","77,5,0,0,90,30,37,46,4,94,90","59,10,5,25,30,60,0,40,2,90,30","22,4,6,0,80,65,79,27,5,86,44","59,1,0,0,9,40,12,29,1,52,32","23,2,1,10,3,70,10,25,0,30,64","54,5,2,80,45,80,11,30,4,3,71","69,1,1,5,71,80,1,30,1,63,70","12,1,0,50,73,80,42,10,10,100,89","27,1,0,0,6,100,1,19,3,13,60","0,75,59,28,60","25,68,0,30,82,100,16,54,2,71,5","10,81,66,52,50","72,23,14,81,66,60,100,49,32,29,2,17,63,0,47,0,0,15,3,20,51,4,5,100,14,12,45,50,70,10,22,97,98,18,61,0,45,14,36,10,37,0,14,73,47,7,0,55,72,5,0,0,15,22,79,100,5,0,98,83,76,0","10,66,23,99,45","30,89,66,22,50","42,8,0,0,32,15,3,28,0,20,45","24,23,16,94,60,20,100,0,32,7,19,7,75,0,0,0,10,10,28,61,53,3,3,100,16,7,16,2,20,12,1,85,99,11,61,28,24,14,36,5,50,0,14,82,25,3,7,68,5,0,0,25,21,10,92,70,13,0,6,90,56,100","62,40,0,10,13,100,3,18,0,40,67","45,9,5,5,8,65,4,20,4,20,61","33,25,6,0,5,100,0,32,2,74,87","40,26,0,100,69,100,63,66,1,30,47","38,85,87,80,91,100,95,53,85,100,98","58,1,1,20,6,100,0,22,45,6,19","23,4,5,40,92,70,85,32,78,100,86","44,2,0,0,6,30,0,10,1,10,21","70,2,0,0,4,20,0,16,0,0,0"
"Usury","24,60,80,74,61,68,18,7","0,75,10,75,78,0,12,96","8,60,15,60,72,55,9,100","96,39,0,5,82,50,75","2,75,30,62,67,55,83,100","19,65,90,100,48,45,35,78","0,15,100,45,76,0,4,0","21,70,10,2,72,40,17,97","65,59,75,100,59,62,88,65","65,60,100,38,70,52,38,85","74,85,100,100,75,100,78,100","73,80,100,40,91,87,22,93","23,25,100,24,49,0,14,54","5,25,20,53,66,64,7,83","8,20,40,100,58,62,20,64","24,65,20,40,91,100,20,45","11,55,100,10,80,100,22,98","2,45,10,70,71,0,3,8","59,85,5,10,80,64,45,79","6,35,100,100,72,100,68,0","25,40,15,2,68,76,32,98","3,10,10,50,68,0,8,5","66,65,20,0,73,40,7,6","82,100,55,14,54,44","6,55,60,1,69,42,30,33","8,9,75,3,25,17","84,74,100,90","14,65,60,52,65,67","44,99,65,9,10,22","3,80,70,7,80,37,20,10","85,96,69,90","25,70,60,43,75,31,15,92","3,45,100,55,57,74,4,92","7,35,100,0,68,64,39,67","94,80,100,45,64,90,56,43","4,85,100,9,73,59,24,100","0,0,0,0,83,0,0,0","23,85,60,0,62,68,11,93","63,75,100,100,13,81,34,38","75,25,100,100,67,84,51,75"
"Voyeurism","100,9,74,20,30,48,40","85,100,15,83,88,83,50","85,100,59,84,93,95,73","76,97,72,100,74,84,84,90","100,100,100,55,92,55,69","100,100,100,8,88,62,82","75,75,54,17,70,32,64","100,100,100,68,93,83,58","100,49,62,14,100,75,67","0,1,100,86,63,69,32","100,100,100,92,100,87,66","100,100,97,95,90,100,69","100,100,25,90,92,41,75","80,100,100,74,81,97,61","100,92,61,90,83,70,61","100,92,93,39,80,90,74","100,100,92,83,100,96,68","80,100,79,77,87,40,55","100,100,100,79,100,73,67","20,6,19,4,30,83,64","100,100,85,43,89,55,60","0,100,3,25,11,7,48","0,100,37,4,61,11,27","94,17,10,21,88,71","100,100,71,100,86,83,60","85,10,74,91,84,20","55,16,84,48,5,72,100,100,4,39,80,0,68,0,53,13,100,8,100,62,38,41,95,100,93,100,74,27,100,50,49,96,99,35,100,97,100,33,87,85,32,0,16,75,32,60,0,50,92,70,100,92,79,9,84,100,66,0,73,95,71,0","100,93,38,54,75,100","89,81,85,76,79,68","100,46,100,24,73,100,52","83,13,80,83,9,11,100,81,14,28,73,0,61,0,44,0,100,32,100,74,55,53,66,100,61,84,51,49,63,52,5,95,98,12,100,39,100,43,46,89,81,78,15,70,48,44,53,57,15,55,63,76,66,22,54,100,69,0,64,63,74,100","100,100,100,89,92,90,68","60,100,51,85,81,59,74","100,80,85,91,82,100,62","100,100,100,78,100,94,61","85,100,100,72,100,9,62","100,100,70,94,100,22,48","100,100,100,75,96,37,75","100,100,100,90,81,76,29","30,73,97,80,30,90,25"
"Waste food","0,67,85,0,19,100,0,12,36","2,2,4,9,24,5,0,12,16","6,68,26,61,44,0,5,37,33","19,51,8,94,20,35,3,17","24,10,31,9,50,5,0,54,20","1,20,68,26,59,48,15,51,31","41,17,16,27,38,45,0,20,38","2,71,23,41,64,15,15,59,39","4,56,32,51,50,80,10,40,16","6,32,44,32,59,95,30,81,20","1,6,9,9,25,4,5,15,20","2,30,100,72,75,44,10,84,20","3,3,32,45,39,5,0,10,32","5,46,26,40,61,40,10,7,47","2,4,46,44,27,1,20,54,25","12,50,16,90,40,48,59,80,30","3,60,31,36,51,70,15,90,16","44,3,81,16,33,21,20,30,29","6,45,69,20,36,39,40,60,39","6,52,58,9,41,10,0,26,28","1,38,68,51,33,74,60,72,34","86,72,36,27,36,72,80,63,32","2,78,38,30,21,51,0,15,22","0,5,0,32,22","16,8,45,66,37,3,0,38,32","34,23,54,52,19","27,4,9,86,8,53,100,62,34,4,0,6,66,0,24,2,0,5,13,28,55,0,0,100,14,3,31,48,27,15,6,87,100,13,43,0,47,0,79,2,58,0,59,65,63,17,0,52,7,0,0,52,48,13,50,0,5,0,100,80,22,0","34,34,81,100,92","65,18,11,88,14","3,19,44,7,40,34,5,26,28","19,7,31,85,4,34,100,15,24,3,34,0,71,0,0,0,10,20,4,4,28,3,5,100,5,2,6,59,20,12,11,95,99,5,15,0,40,30,65,1,71,0,12,78,84,9,42,47,8,0,0,38,34,22,49,54,6,0,86,95,74,100","1,25,18,16,25,3,0,48,16","0,12,92,4,44,45,0,20,22","83,70,68,39,40,1,40,43,30","1,81,37,36,43,2,0,77,38","13,39,23,29,50,17,5,52,22","1,1,21,0,0,0,0,13,12","60,73,42,91,33,93,20,70,22","1,2,53,17,39,8,0,5,34","1,2,33,8,32,5,0,17,31"
"Watch porn","100,28,21,21,0,9,25,51,1","0,31,0,30,6,15,0,28,0","20,6,0,20,0,0,0,9,25","16,21,0,100,61,2,42,0","0,30,23,10,80,4,0,3,0","0,3,2,15,64,23,0,4,51","0,76,75,76,9,5,0,2,11","0,27,4,6,65,6,0,35,18","50,2,100,55,23,9,53,34,76","30,2,0,32,66,7,18,90,1","0,1,4,10,0,16,3,11,0","100,100,100,53,88,10,100,99,96","100,100,100,80,100,23,100,97,100","60,43,100,60,100,51,71,89,69","0,14,24,25,43,19,0,4,7","10,18,0,10,26,34,9,42,50","30,100,100,81,100,49,57,39,100","0,9,0,5,86,7,0,23,20","0,19,0,12,54,7,0,3,44","0,3,0,5,0,7,0,23,0","0,17,50,15,65,7,0,17,75","0,14,0,2,80,9,0,3,0","0,41,50,5,78,6,73,100,0","8,3,60,5,0","100,91,100,81,100,83,100,100,100","31,100,44,60,28","5,8,0,95,2,3,0,0,56,7,1,8,57,0,0,0,0,2,25,64,65,0,0,100,14,0,1,38,8,20,12,91,100,16,75,0,13,0,34,5,16,0,14,64,44,0,0,43,30,0,0,0,67,10,62,0,7,0,0,90,60,0","12,100,89,14,14","9,78,33,85,6","0,18,0,5,55,3,0,6,51","0,5,0,80,2,13,0,0,21,0,17,0,72,0,0,0,15,1,45,53,56,2,0,100,5,0,4,37,15,14,1,89,99,13,66,0,20,14,69,20,75,0,14,68,76,0,27,45,6,0,0,0,65,0,78,34,8,0,0,14,69,100","0,79,100,10,38,8,0,47,1","0,4,50,40,26,18,48,71,4","0,100,100,84,100,52,71,99,71","100,100,100,73,100,74,87,90,97","40,79,100,73,100,37,8,4,62","100,100,100,90,100,51,90,88,100","60,100,100,75,99,44,10,77,95","20,3,3,5,0,3,17,93,0","0,34,0,5,8,4,0,0,0"
